0:, estados unidos - 6315
1:, sociedad y cultura - 6131
2:, américa latina - 4966
3:, ciencia - 3730
4:, salud - 3675
5:, economía - 3485
6:, sociedad - 3079
7:, tecnología - 2647
8:, política - 2270
9:, donald trump - 2090
10:, pandemia de coronavirus - 2063
11:, méxico - 1852
12:, reino unido - 1473
13:, venezuela - 1361
14:, china - 1165
15:, historia - 1036
16:, europa - 1012
17:, negocios - 997
18:, mujeres - 933
19:, brasil - 902
20:, colombia - 866
21:, rusia - 848
22:, crisis en venezuela - 815
23:, medio ambiente - 687
24:, internet - 662
25:, chile - 661
26:, asia - 646
27:, argentina - 584
28:, perú - 583
29:, cambio climático - 567
30:, españa - 548
31:, migraciones - 540
32:, nicolás maduro - 527
33:, medio oriente - 475
34:, salud mental - 475
35:, cine - 463
36:, organización mundial de la salud - 448
37:, espacio - 438
38:, sin etiquetas - 410
39:, elecciones presidenciales en estados unidos 2020 - 409
40:, hay festival - 406
41:, astronomía - 392
42:, infancia - 390
43:, música - 385
44:, francia - 379
45:, cuba - 379
46:, redes sociales - 376
47:, educación - 371
48:, religión - 367
49:, finanzas - 359
50:, corea del norte - 358
51:, narcotráfico - 354
52:, joe biden - 354
53:, elecciones presidenciales en estados unidos 2016 - 352
54:, salud de la mujer - 349
55:, áfrica - 342
56:, comercio - 340
57:, medicina - 336
58:, violencia sexual - 334
59:, violencia en américa latina - 330
60:, derechos humanos - 322
61:, deportes - 317
62:, ecuador - 312
63:, naturaleza - 307
64:, alemania - 299
65:, bolivia - 298
66:, guatemala - 298
67:, unión europea - 293
68:, el salvador - 292
69:, irán - 282
70:, siria - 277
71:, animales - 272
72:, honduras - 266
73:, alimentación - 261
74:, india - 260
75:, nicaragua - 254
76:, canadá - 248
77:, japón - 248
78:, centroamérica - 247
79:, juan guaidó - 247
80:, corea del sur - 244
81:, derechos de la mujer - 244
82:, andrés manuel lópez obrador - 243
83:, literatura - 241
84:, facebook - 235
85:, italia - 234
86:, televisión - 233
87:, arte - 229
88:, teléfonos móviles - 224
89:, vladimir putin - 222
90:, racismo - 218
91:, violencia en méxico - 211
92:, vacunas - 209
93:, afganistán - 207
94:, nutrición - 204
95:, israel - 203
96:, nasa - 194
97:, brexit - 193
98:, emprendimientos - 192
99:, estado islámico - 190
100:, protestas - 186
101:, corrupción - 181
102:, aviación - 177
103:, leyes - 175
104:, física - 174
105:, empleo - 169
106:, segunda guerra mundial - 167
107:, armas nucleares - 165
108:, sector militar - 164
109:, google - 162
110:, mercados financieros - 162
111:, sexo - 160
112:, industria petrolera - 158
113:, abuso infantil - 157
114:, arqueología - 156
115:, biología - 156
116:, irak - 155
117:, uruguay - 152
118:, clima extremo - 149
119:, arabia saudita - 149
120:, protestas en chile - 147
121:, pobreza - 146
122:, seguridad informática - 146
123:, costa rica - 142
124:, idioma español - 142
125:, idiomas - 142
126:, lgtb - 138
127:, jair bolsonaro - 138
128:, fotografía - 135
129:, violencia doméstica - 132
130:, huracán - 132
131:, iglesia católica - 132
132:, conflicto palestino-israelí - 131
133:, talibán - 131
134:, australia - 130
135:, guerra - 129
136:, turquía - 128
137:, panamá - 127
138:, justicia - 127
139:, evo morales - 126
140:, apple - 124
141:, espectáculos - 120
142:, olimpiadas - 120
143:, cáncer - 120
144:, violencia armada en ee.uu. - 117
145:, naciones unidas - 117
146:, muerte de george floyd - 117
147:, vacunas contra el coronavirus - 116
148:, familia real británica - 115
149:, separacion de familias inmigrantes en eeuu - 115
150:, violencia de pandillas - 111
151:, comercio electrónico - 110
152:, conservación - 110
153:, río 2016 - 109
154:, haití - 109
155:, latinos en ee.uu. - 108
156:, terremotos - 107
157:, puerto rico - 106
158:, turismo - 104
159:, paraguay - 103
160:, tiroteos masivos - 102
161:, crisis en nicaragua - 102
162:, cibercrimen - 101
163:, hillary clinton - 99
164:, papa francisco i - 98
165:, premios oscar - 98
166:, ucrania - 97
167:, contaminación - 94
168:, familia - 93
169:, energía nuclear - 92
170:, matemática - 92
171:, apps - 92
172:, computación - 90
173:, joaquín 'el chapo' guzmán - 89
174:, suecia - 89
175:, selva amazónica - 89
176:, accidentes aéreos - 89
177:, barack obama - 87
178:, caravana de migrantes - 87
179:, londres - 86
180:, nobel - 86
181:, drogas - 86
182:, arquitectura - 85
183:, crisis en bolivia - 85
184:, medios de comunicación - 83
185:, refugiados y solicitantes de asilo - 83
186:, hong kong - 82
187:, islam - 82
188:, energía - 82
189:, 100 mujeres - 81
190:, sebastián piñera - 81
191:, egipto - 79
192:, crisis en españa - 79
193:, aborto - 78
194:, república dominicana - 77
195:, holanda - 77
196:, amazon - 77
197:, elecciones en méxico 2018 - 76
198:, viajes - 75
199:, cataluña - 74
200:, catolicismo - 73
201:, contraterrorismo - 73
202:, huawei - 72
203:, contaminacion del aire - 70
204:, agricultura - 69
205:, genética - 69
206:, whatsapp - 69
207:, industria turística - 69
208:, evolución - 68
209:, banca - 67
210:, populismo - 67
211:, instagram - 67
212:, daniel ortega - 65
213:, indonesia - 65
214:, juicio a "el chapo" guzmán - 65
215:, contaminación marina - 65
216:, elecciones presidenciales en venezuela 2018 - 65
217:, transporte - 64
218:, género - 64
219:, caribe - 64
220:, grecia - 62
221:, guerra fría - 62
222:, inteligencia artificial - 62
223:, bienestar de los animales - 62
224:, elecciones presidenciales en bolivia 2019 - 62
225:, moda - 61
226:, dinamarca - 61
227:, espionaje - 61
228:, pakistán - 60
229:, tailandia - 59
230:, ciberataque - 59
231:, twitter - 59
232:, libros - 59
233:, marte - 58
234:, investigación médica - 58
235:, cop26 - 57
236:, agua - 57
237:, alemania nazi - 57
238:, fidel castro - 56
239:, sudáfrica - 56
240:, nueva zelanda - 56
241:, antropología - 55
242:, relaciones interraciales y étnicas - 55
243:, industria automotriz - 55
244:, elecciones en brasil 2018 - 55
245:, prisiones - 54
246:, finanzas personales - 54
247:, boris johnson - 53
248:, periodismo - 53
249:, discapacidad - 52
250:, europa del este - 52
251:, centroamérica cuenta - 51
252:, musulmanes - 51
253:, fondo monetario internacional - 48
254:, fútbol - 47
255:, nigeria - 47
256:, desempleo - 47
257:, bitcoin - 47
258:, luna - 45
259:, bielorrusia - 45
260:, manifestación - 45
261:, nazismo - 45
262:, comunismo - 44
263:, noticias falsas - 44
264:, incendios en el amazonas - 44
265:, albert einstein - 43
266:, birmania - 43
267:, territorios palestinos - 43
268:, vih/sida - 43
269:, transgénero - 43
270:, américa del norte - 43
271:, crisis económica en argentina - 43
272:, feminismo - 42
273:, nayib bukele - 42
274:, tiroteo en la escuela de parkland - 41
275:, florida - 41
276:, príncipe harry - 41
277:, theresa may - 40
278:, taiwán - 40
279:, protestas en colombia - 40
280:, polonia - 38
281:, censura - 38
282:, obesidad - 38
283:, elecciones de mitad de período en estados unidos 2018 - 38
284:, protestas en cuba - 38
285:, sudeste asiático - 37
286:, reina isabel ii - 37
287:, derechos de las minorías - 37
288:, pena de muerte - 37
289:, justicia social - 37
290:, microsoft - 36
291:, seguridad alimentaria - 36
292:, energía renovable - 35
293:, sueño - 35
294:, noruega - 35
295:, primera guerra mundial - 34
296:, boda del príncipe harry con meghan markle - 34
297:, publicidad - 34
298:, derechos de los animales - 34
299:, niños atrapados en una cueva de tailandia - 34
300:, raúl castro - 33
301:, sol - 33
302:, holocausto - 33
303:, alcoholismo - 33
304:, portugal - 32
305:, estudios profesionales - 32
306:, bélgica - 32
307:, esclavitud - 31
308:, conflicto territorial en el mar de la china meridional - 31
309:, al qaeda - 31
310:, cristina fernández de kirchner - 30
311:, angela merkel - 30
312:, mundo árabe - 30
313:, consejo de seguridad de la onu - 30
314:, vietnam - 30
