0:, sin etiquetas - 22605
1:, sociedad y cultura - 1575
2:, estados unidos - 1182
3:, américa latina - 1101
4:, salud - 1088
5:, ciencia - 1000
6:, pandemia de coronavirus - 860
7:, economía - 695
8:, política - 680
9:, sociedad - 611
10:, rusia - 531
11:, conflicto rusia-ucrania - 456
12:, reino unido - 417
13:, ucrania - 404
14:, tecnología - 383
15:, historia - 360
16:, méxico - 344
17:, china - 275
18:, europa - 270
19:, mujeres - 268
20:, negocios - 263
21:, guerra - 230
22:, cambio climático - 220
23:, vacunas contra el coronavirus - 216
24:, colombia - 212
25:, joe biden - 212
26:, brasil - 186
27:, venezuela - 177
28:, perú - 167
29:, donald trump - 164
30:, vladimir putin - 158
31:, migraciones - 157
32:, vacunas - 156
33:, medio ambiente - 153
34:, chile - 153
35:, afganistán - 149
36:, derechos humanos - 144
37:, salud mental - 133
38:, cine - 125
39:, asia - 121
40:, talibán - 118
41:, violencia en américa latina - 116
42:, españa - 115
43:, infancia - 114
44:, argentina - 113
45:, espacio - 111
46:, centroamérica - 111
47:, cuba - 110
48:, justicia - 109
49:, música - 107
50:, organización mundial de la salud - 104
51:, medio oriente - 103
52:, narcotráfico - 100
53:, elecciones presidenciales en estados unidos 2020 - 96
54:, internet - 94
55:, francia - 91
56:, religión - 89
57:, crisis en venezuela - 89
58:, áfrica - 87
59:, redes sociales - 87
60:, alemania - 85
61:, deportes - 84
62:, ecuador - 83
63:, medicina - 81
64:, violencia sexual - 80
65:, astronomía - 80
66:, naturaleza - 79
67:, finanzas - 77
68:, israel - 77
69:, india - 76
70:, literatura - 73
71:, haití - 71
72:, sector militar - 70
73:, el salvador - 68
74:, nicaragua - 68
75:, variante ómicron - 68
76:, segunda guerra mundial - 67
77:, derechos de la mujer - 66
78:, salud de la mujer - 65
79:, unión europea - 63
80:, arte - 62
81:, clima extremo - 62
82:, japón - 62
83:, física - 62
84:, educación - 61
85:, cop26 - 61
86:, familia real británica - 61
87:, leyes - 61
88:, hay festival - 58
89:, violencia en méxico - 58
90:, protestas - 57
91:, empleo - 56
92:, abuso infantil - 55
93:, honduras - 54
94:, conflicto palestino-israelí - 54
95:, alimentación - 53
96:, canadá - 53
97:, otan - 53
98:, guatemala - 52
99:, animales - 51
100:, espectáculos - 50
101:, biología - 50
102:, lgtb - 49
103:, europa del este - 48
104:, nasa - 48
105:, racismo - 48
106:, facebook - 47
107:, comercio - 47
108:, televisión - 47
109:, pobreza - 45
110:, nicolás maduro - 44
111:, industria petrolera - 44
112:, protestas en colombia - 44
113:, premios oscar - 43
114:, arqueología - 43
115:, protestas en cuba - 41
116:, violencia de pandillas - 40
117:, energía - 40
118:, mercados financieros - 39
119:, bitcoin - 37
120:, andrés manuel lópez obrador - 37
121:, corrupción - 36
122:, bolivia - 35
123:, italia - 35
124:, bielorrusia - 35
125:, costa rica - 34
126:, protestas en chile - 34
127:, refugiados y solicitantes de asilo - 34
128:, pedro castillo - 34
129:, crisis en nicaragua - 33
130:, idiomas - 33
131:, energía nuclear - 33
132:, naciones unidas - 33
133:, violencia doméstica - 32
134:, idioma español - 32
135:, uruguay - 32
136:, australia - 32
137:, seguridad informática - 32
138:, elecciones generales de chile de 2021 - 32
139:, irán - 31
140:, nutrición - 31
141:, corea del norte - 30
142:, medios de comunicación - 30
143:, aviación - 30
144:, brexit - 29
145:, corea del sur - 29
146:, aborto - 29
147:, birmania - 29
148:, alemania nazi - 29
149:, sexo - 29
150:, sudáfrica - 29
151:, daniel ortega - 29
152:, violencia armada en ee.uu. - 28
153:, genética - 28
154:, armas nucleares - 28
155:, nazismo - 28
156:, conservación - 28
157:, jair bolsonaro - 28
158:, elecciones generales de perú de 2021 - 28
159:, holanda - 27
160:, caribe - 27
161:, egipto - 27
162:, cibercrimen - 27
163:, terremotos - 26
164:, contraterrorismo - 26
165:, polonia - 26
166:, panamá - 25
167:, computación - 25
168:, iglesia católica - 25
169:, islam - 25
170:, marte - 25
171:, turismo - 24
172:, nobel - 24
173:, boris johnson - 24
174:, muerte de george floyd - 24
175:, cáncer - 24
176:, siria - 23
177:, arquitectura - 23
178:, contaminacion del aire - 23
179:, familia - 23
180:, suecia - 23
181:, fotografía - 23
182:, paraguay - 22
183:, matemática - 22
184:, contaminación - 22
185:, transporte - 22
186:, guerra fría - 22
187:, tokio 2020 - 21
188:, luna - 21
189:, reina isabel ii - 21
190:, territorios palestinos - 21
191:, google - 21
192:, taiwán - 21
193:, drogas - 21
194:, amazon - 21
195:, arabia saudita - 21
196:, banca - 21
197:, fútbol - 20
198:, grecia - 20
199:, teléfonos móviles - 20
200:, turquía - 20
201:, viajes - 20
202:, derechos de las minorías - 20
203:, netflix - 20
204:, espionaje - 20
205:, inflación - 20
206:, nayib bukele - 20
207:, pakistán - 19
208:, república dominicana - 19
209:, al qaeda - 19
210:, ataques del 11 de septiembre de 2001 - 19
211:, latinos en ee.uu. - 19
212:, comunismo - 19
213:, desempleo - 19
214:, sebastián piñera - 19
215:, separacion de familias inmigrantes en eeuu - 19
216:, selva amazónica - 19
217:, discapacidad - 19
218:, cuerpo humano - 18
219:, dinamarca - 18
220:, filosofía - 18
221:, relaciones interraciales y étnicas - 18
222:, agricultura - 18
223:, sol - 17
224:, indonesia - 17
225:, juan guaidó - 17
226:, hong kong - 17
227:, ciberataque - 17
228:, gabriel boric - 17
229:, eclipse - 16
230:, contaminación marina - 16
231:, lucía blasco - 16
232:, puerto rico - 16
233:, twitter - 16
234:, moda - 16
235:, género - 16
236:, nigeria - 16
237:, feminismo - 16
238:, holocausto - 16
239:, estado islámico - 15
240:, londres - 15
241:, albert einstein - 15
242:, evolución - 15
243:, kamala harris - 15
244:, comercio electrónico - 15
245:, prisiones - 15
246:, bélgica - 15
247:, libros - 15
248:, industria turística - 15
249:, apple - 14
250:, papa francisco i - 14
251:, catolicismo - 14
252:, periodismo - 14
253:, whatsapp - 14
254:, ejercicios - 14
255:, elecciones presidenciales de ecuador de 2021 - 14
256:, américa del norte - 14
257:, keiko fujimori - 14
258:, pandora papers - 14
259:, crisis económica en argentina - 13
260:, justicia social - 13
261:, huracán - 13
262:, antropología - 13
263:, transgénero - 13
264:, miguel díaz-canel - 13
265:, asia central - 13
266:, filipinas - 12
267:, emprendimientos - 12
268:, irak - 12
269:, príncipe harry - 12
270:, canal de suez - 12
271:, tonga - 12
272:, olimpiadas - 11
273:, musulmanes - 11
274:, censura - 11
275:, alberto fernández - 11
276:, asia del sur - 11
277:, bbc - 11
278:, primera guerra mundial - 11
279:, austria - 11
280:, mundo árabe - 11
281:, irlanda - 11
282:, criptomoneda - 11
283:, noruega - 11
284:, agua - 10
285:, portugal - 10
286:, accidentes aéreos - 10
287:, pueblos indígenas del perú - 10
288:, vih/sida - 10
289:, investigación médica - 10
290:, apps - 10
291:, noticias falsas - 10
292:, sudeste asiático - 10
293:, joaquín 'el chapo' guzmán - 10
294:, escocia - 10
295:, marruecos - 9
296:, esclavitud - 9
297:, conflicto territorial en el mar de la china meridional - 9
298:, instagram - 9
299:, sexismo - 9
300:, pena de muerte - 9
301:, etiopía - 9
302:, alexei navalny - 9
303:, caravana de migrantes - 9
304:, yemen - 9
305:, sueño - 9
306:, human rights watch - 9
307:, tenis - 9
308:, finlandia - 9
309:, tiroteos masivos - 8
310:, raúl castro - 8
311:, irlanda del norte - 8
312:, angela merkel - 8
313:, finanzas personales - 8
314:, inteligencia artificial - 8
315:, manifestación - 8
316:, libertad de prensa - 8
317:, energía renovable - 8
318:, elecciones presidenciales en estados unidos 2016 - 7
319:, barack obama - 7
320:, evo morales - 7
321:, serbia - 7
322:, mujer anónima - 7
323:, día internacional de la mujer - 7
324:, bangladesh - 7
325:, 100 mujeres - 7
326:, prostitución - 7
327:, nueva zelanda - 7
328:, enfermedades cardiovasculares - 7
329:, hambruna - 7
330:, obesidad - 7
331:, boda del príncipe harry con meghan markle - 7
332:, sequía - 7
333:, elecciones federales de méxico de 2021 - 7
334:, cirugía - 7
335:, elecciones generales de costa rica de 2022 - 7
336:, elecciones en colombia - 7
337:, cristina fernández de kirchner - 6
338:, bosnia y herzegovina - 6
339:, fidel castro - 6
340:, consejo de seguridad de la onu - 6
341:, depresión - 6
342:, islandia - 6
343:, populismo - 6
344:, telescopio espacial james webb - 6
345:, trinidad y tobago - 6
346:, mike pence - 6
347:, industria textil - 6
348:, bienestar de los animales - 6
349:, incendios en el amazonas - 6
350:, mohammed bin salman - 6
351:, qatar - 6
352:, mao tse tung - 6
353:, libertad de expresión - 6
354:, inglaterra - 6
355:, singapur - 6
356:, luiz inácio lula da silva - 6
357:, seguridad alimentaria - 6
358:, guillermo lasso - 6
359:, budismo - 6
360:, ayuda humanitaria - 6
361:, alcoholismo - 6
362:, deportes paralímpicos - 6
363:, matrimonio - 6
364:, hillary clinton - 5
365:, hugo chávez - 5
366:, stephen hawking - 5
367:, electrónica - 5
368:, jeanine áñez - 5
369:, ruanda - 5
370:, diego armando maradona - 5
371:, libia - 5
372:, pesca - 5
373:, libano - 5
374:, gripe - 5
375:, croacia - 5
376:, blockchain - 5
377:, fertilidad - 5
378:, mauricio macri - 5
379:, g7 - 5
380:, suiza - 5
381:, esa (agencia espacial europea) - 5
382:, xiomara castro - 5
383:, democracia - 5
384:, elecciones presidenciales de colombia de 2022 - 5
385:, deportes de invierno - 5
386:, emmanuel macron - 5
387:, centroamérica cuenta - 4
388:, 18 años - 4
389:, crisis en bolivia - 4
390:, fondo monetario internacional - 4
391:, canal de panamá - 4
392:, malasia - 4
393:, áfrica occidental - 4
394:, demencia - 4
395:, innovación - 4
396:, boko haram - 4
397:, vietnam - 4
398:, julian assange - 4
399:, rafael correa - 4
400:, jamal khashoggi - 4
401:, memoria - 4
402:, república checa - 4
403:, prisioneros políticos - 4
404:, microsoft - 4
405:, atletismo - 4
406:, tortura - 4
407:, juegos de apuestas - 4
408:, tiroteo en la escuela de parkland - 3
409:, florida - 3
410:, kenia - 3
411:, edad desconocida - 3
412:, fue asesinada en ámsterdam - 3
413:, estudios profesionales - 3
414:, amnistía internacional - 3
415:, elecciones presidenciales en argentina 2019 - 3
416:, somalia - 3
417:, guyana - 3
418:, túnez - 3
419:, transporte ferroviario - 3
420:, europa central - 3
421:, sudan - 3
422:, kuwait - 3
423:, opep - 3
424:, huawei - 3
425:, antibióticos - 3
426:, áfrica oriental - 3
427:, publicidad - 3
428:, ética médica - 3
429:, malaria - 3
430:, boxeo - 3
431:, república democrática del congo - 3
432:, copa américa - 3
433:, industria automotriz - 3
434:, eurocopa 2020 - 3
435:, ciclismo - 3
436:, recep tayyip erdogan - 3
437:, ayuda internacional - 3
438:, jamaica - 3
439:, analía llorente - 3
440:, fue asesinada en indianápolis - 2
441:, niña anónima - 2
442:, 22 años - 2
443:, 24 años - 2
444:, 67 años - 2
445:, 36 años - 2
446:, 27 años - 2
447:, 55 años - 2
448:, fue asesinada en quezon city - 2
449:, alejandro giammattei - 2
450:, elecciones presidenciales en bolivia 2019 - 2
451:, eurozona - 2
452:, golfo pérsico - 2
453:, elecciones presidenciales en venezuela 2018 - 2
454:, lenín moreno - 2
455:, martín vizcarra - 2
456:, uber - 2
457:, anatomía - 2
458:, demografía - 2
459:, ghana - 2
460:, superliga europea - 2
461:, mali - 2
462:, organización mundial del comercio - 2
463:, fumar - 2
464:, gales - 2
465:, juicio a "el chapo" guzmán - 2
466:, luis arce - 2
467:, natación - 2
468:, radio - 2
469:, derechos de los animales - 2
470:, reciclaje - 2
471:, virus zika - 2
472:, vida sostenible - 2
473:, papúa nueva guinea - 2
474:, wikileaks - 2
475:, william márquez - 2
476:, humor - 2
477:, liberia - 2
478:, hungría - 2
479:, margarita rodríguez - 2
480:, cecilia barría - 2
481:, marcos gonzalez díaz - 2
482:, veronica smink - 2
483:, cristina jiménez - 2
484:, elecciones presidenciales en brasil 2014 - 1
485:, violencia - 1
486:, llegada del hombre a la luna - 1
487:, neha sharad chaudhary - 1
488:, fue asesinada en malegaon - 1
489:, 31 años - 1
490:, fue asesinada en mashhad - 1
491:, linda miller - 1
492:, 66 años - 1
493:, ee.uu. - 1
494:, 17 años - 1
495:, fue asesinada en alipur - 1
496:, judith chesang - 1
497:, fue asesinada en baringo - 1
498:, farzana bibi - 1
499:, fue asesinada en pakpattan - 1
500:, dina mapelli - 1
501:, 77 años - 1
502:, fue asesinada en vimercate - 1
503:, sandra lucia hammer moura fue asesinada en palmas - 1
504:, jennifer majín males - 1
505:, fue asesinada en los cámbulos - 1
506:, 82 años - 1
507:, fue asesinada en dracsani - 1
508:, rumania - 1
509:, yanet nuñez niclouse - 1
510:, 46 años - 1
511:, fue asesinada en río claro - 1
512:, ritu devi - 1
513:, fue asesinada en neeli - 1
514:, 30 años - 1
515:, 5 años - 1
516:, katty mayorly jácome hernández - 1
517:, 34 años - 1
518:, fue asesinada en cúcuta - 1
519:, niah - 1
520:, fue asesinada en dumai - 1
521:, marie-amelie vaillat - 1
522:, fue asesinada en oyonnax - 1
523:, 85 años - 1
524:, fue asesinada en kawasaki - 1
525:, vanessa vicente da silva - 1
526:, fue asesinada en serra talhada - 1
527:, resti nova dila - 1
528:, 20 años - 1
529:, fue asesinada en solok del sur - 1
530:, t. zh - 1
531:, fue asesinada en el distrito de azaka - 1
532:, uzbekistán - 1
533:, justina coelho lopes - 1
534:, 69 años - 1
535:, fue asesinada en barau - 1
536:, griselda iria osorio álvarez - 1
537:, 21 años - 1
538:, fue asesinada en tijuana - 1
539:, edineuza costa silva fue asesinada en quixeramobim - 1
540:, paula andrea alvarez morales - 1
541:, 35 años - 1
542:, fue asesinada en ciudad bolívar - 1
543:, mujer anónima fue asesinada en tandlianwala - 1
544:, maria gladis herrera de damián - 1
545:, fue asesinada en san pedro puxtla - 1
546:, tábata amscoli de paz lópez - 1
547:, fue asesinada en ciudad de guatemala - 1
548:, barbie pigg - 1
549:, 49 años - 1
550:, fue asesinada en middlesbrough - 1
551:, leoncia tupas - 1
552:, vilma josefina contreras - 1
553:, fue asesinada en huiziltepeque - 1
